what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1299415907454
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1299415907455
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1299415907456
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1299415907457
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1299415907483
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1299415907483
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1299415907485
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1299415907486
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1299415907486
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1299415907527
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1299415907528
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1299415907529
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1299415907560
os,sysinfo,,,"win32",1299415907566
arch,sysinfo,,,"x86",1299415907566
ws,sysinfo,,,"win32",1299415907566
locale,sysinfo,,,"en_US",1299415907566
processors,sysinfo,,,"2",1299415907566
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299415907566
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1299415907566
java.specification.name,sysinfo,,,"Java Platform API Specification",1299415907566
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299415907566
java.specification.version,sysinfo,,,"1.6",1299415907566
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299415907566
java.version,sysinfo,,,"1.6.0_19",1299415907566
java.vm.info,sysinfo,,,"mixed mode, sharing",1299415907566
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299415907566
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299415907566
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299415907566
java.vm.specification.version,sysinfo,,,"1.0",1299415907566
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299415907566
java.vm.version,sysinfo,,,"16.2-b04",1299415907566
